Designator,Mid X,Mid Y,Rotation,Layer
C1,21.02,-3.5,0.0,top
C2,18.52,-3.5,0.0,top
C3,14.0,-12.0,0.0,top
C4,14.0,-6.0,180.0,top
D1,9.84,-4.0,180.0,top
D2,25.5,-8.0,270.0,top
D3,23.5,-8.0,270.0,top
F1,9.855,-13.0,0.0,top
IC1,19.5,-8.0,0.0,top
IC2,14.0,-9.0,180.0,top
J1,3.5,-10.0,270.0,top
J2,28.5,-10.005,0.0,top
R1,9.84,-9.5,180.0,top
R2,9.84,-11.5,180.0,top
R3,9.84,-6.5,180.0,top
R4,25.5,-11.5,90.0,top
R5,23.5,-11.5,90.0,top
SW1,14.34,-19.0,0.0,top
